oid,otype,morph_type,rvz_redshift,B,V,u_,g_,r_,i_,z_
490075,Sy2,Sb,0.051,18.85,18.08,18.051,16.254,15.35,14.838,14.434
465302,Sy2,Sc,0.047,17.16,16.37,18.77,16.95,15.899,15.34,14.908
1914063,Sy1,S,0.08215,18.151,18.85,18.605,17.753,17.5,17.206,17.161
1994064,Sy1,E,0.04677,17.8,17.11,17.996,16.233,15.368,14.948,14.664
1790085,Sy2,S,0.07854,19.26,18.58,18.069,16.615,15.871,15.454,15.165
1328939,Sy1,E...,0.04199,17.03,16.58,16.943,16.031,15.48,15.098,14.84
1388244,Sy2,0,0.0177,17.21,16.76,16.819,15.447,14.82,14.498,14.268
1669215,Sy1,E:,0.185,18.21,17.27,18.548,17.955,16.828,16.627,16.846
1599516,Sy2,S...,0.017252,15.48,14.54,16.6398,14.7804,13.942,13.5505,13.1676
1783664,Sy2,Sc,0.07799,15.67,15.36,17.101,15.543,14.665,14.231,13.933
1848201,Sy2,S,0.10594,19.7,19.01,19.25,17.849,17.062,16.624,16.33
1114396,Sy1,S,0.07835,17.47,16.38,18.98,17.499,16.787,16.235,16.039
1362497,Sy2,0,0.0275,18.08,17.36,17.593,15.764,14.814,14.322,13.926
1381514,Sy2,2,0.09878,19.78,18.97,20.369,18.419,17.411,16.931,16.711
1633260,Sy2,S,0.07318,18.95,18.23,17.946,16.559,15.868,15.497,15.242
1691430,Sy1,S,0.04819,18.89,18.26,17.263,16.044,15.41,15.061,14.798
1382709,Sy2,-3,0.08874,19.25,18.47,19.764,17.947,16.97,16.452,16.067
1373782,Sy1,dI,0.00634,21.14,20.79,18.914,17.941,21.448,17.648,17.388
1453318,Sy2,Sa,0.069,19.27,18.49,18.75,17.042,16.132,15.632,15.305
1367274,Sy2,Sc,0.03686,18.81,18.1,18.058,16.419,15.599,15.184,14.837
1830532,Sy1,S0,0.06,18.315,19.2,18.379,17.553,17.231,16.945,16.868
2877692,Sy1,Sa,0.05887,18.4,17.81,17.836,16.635,15.924,15.512,15.246
2877627,Sy1,E,0.058484,17.02,15.98,17.899,16.379,15.598,15.945,14.902
2858559,Sy2,Sa,0.09648,18.7,17.95,18.236,16.574,15.615,15.142,14.821
2138366,Sy2,S,0.101,19.38,18.71,19.334,17.641,16.789,16.399,16.111
2125254,Sy2,E,0.04593,16.424,15.86,17.921,16.088,15.233,14.773,14.441
2167766,Sy2,S0,0.078,19.04,18.33,20.003,18.102,17.133,16.653,16.293
2291638,Sy2,S,0.0781,19.1,18.38,18.467,16.849,16.043,15.639,15.342
2918333,Sy2,Sb,0.03961,18.61,17.9,18.387,16.636,15.772,15.324,14.925
2055241,Sy2,Sc,0.087,19.65,18.86,19.39,17.373,16.421,15.892,15.511
2236298,Sy2,Sb,0.05599,18.91,18.16,18.43,16.502,15.647,15.159,14.794
2895445,Sy2,Sc,0.03544,18.91,18.15,18.084,16.256,15.406,14.956,14.59
2919416,Sy2,Scd,0.081,20.17,19.36,19.661,17.992,17.096,16.588,16.195
2648164,Sy2,Sc,0.05191,19.51,18.71,18.035,16.279,15.396,14.899,14.481
1768305,Sy1,S0a,0.03562,17.46,16.91,16.877,15.725,15.019,14.633,14.363
6157281,Sy2,E,1.14825,23.62,22.945,24.6677,24.0963,22.4759,21.0427,20.4355
1961913,Sy2,S_AB,-0.000737,10.26,9.54,15.011,15.158,10.984,10.382,12.665
