<html><head>
<meta http-equiv="content-type" content="text/html; charset=UTF-8"></head><body>oid,otype,morph_type,morph_qual
1388066,"Sy2","Irr",D
13191782,"Sy1",,
4909323,"Sy1",,
7841790,"Sy1",,
2133778,"Sy1","0",D
2220802,"Sy2",,
1651927,"Sy1",,
482517,"Sy2",,
482521,"Sy2",,
3775765,"Sy1","Sap",D
11024467,"Sy2",,
433353,"Sy1",,
2229878,"Sy1",,
8268425,"Sy1",,
8372243,"Sy1",,
12307182,"Sy2",,
4569245,"Sy1",,
4046769,"Sy1",,
1388560,"Sy1",,
1866181,"Sy1",,
603511,"Sy1",,
2103830,"Sy1","Sab",E
7842311,"Sy1",,
13302854,"Sy1",,
13302855,"Sy1",,
13302866,"Sy1",,
13302868,"Sy1",,
13304525,"Sy1",,
13304528,"Sy1",,
13304530,"Sy1",,
13305005,"Sy1",,
13305013,"Sy1",,
13305014,"Sy1",,
13305016,"Sy1",,
13305020,"Sy1",,
13305021,"Sy1",,
13305037,"Sy1",,
13305045,"Sy1",,
13305058,"Sy1",,
13305070,"Sy1",,
13305081,"Sy1",,
13305086,"Sy1",,
13305092,"Sy1",,
13305111,"Sy1",,
13305117,"Sy1",,
13305129,"Sy1",,
13305132,"Sy1",,
13305134,"Sy1",,
13305139,"Sy1",,
13305143,"Sy1",,
13305161,"Sy1",,
13305164,"Sy1",,
13305177,"Sy1",,
13305178,"Sy1",,
582003,"Sy1",,
13305189,"Sy1",,
13305191,"Sy1",,
13305192,"Sy1",,
13305207,"Sy1",,
13305215,"Sy1",,
13305202,"Sy1",,
13305216,"Sy1",,
13305217,"Sy1",,
13305223,"Sy1",,
13305224,"Sy1",,
13305226,"Sy1",,
13305228,"Sy1",,
13305233,"Sy1",,
13305256,"Sy1",,
13305257,"Sy1",,
13305266,"Sy1",,
13305275,"Sy1",,
13305276,"Sy1",,
13305277,"Sy1",,
13305280,"Sy1",,
13305299,"Sy1",,
13305307,"Sy1",,
13305309,"Sy1",,
13305310,"Sy1",,
13305314,"Sy1",,
13305328,"Sy1",,
13305332,"Sy1",,
13305356,"Sy1",,
13305363,"Sy1",,
13305364,"Sy1",,
13305366,"Sy1",,
13305390,"Sy1",,
13305368,"Sy1",,
13305371,"Sy1",,
13305388,"Sy1",,
13305403,"Sy1",,
13305414,"Sy1",,
13305424,"Sy1",,
13305427,"Sy1",,
13305442,"Sy1",,
13305443,"Sy1",,
13305444,"Sy1",,
13305450,"Sy1",,
13305451,"Sy1",,
13305453,"Sy1",,
13305459,"Sy1",,
13305461,"Sy1",,
13305463,"Sy1",,
13305466,"Sy1",,
13305469,"Sy1",,
13305470,"Sy1",,
13305478,"Sy1",,
13305481,"Sy1",,
13305482,"Sy1",,
13305485,"Sy1",,
13305487,"Sy1",,
13305488,"Sy1",,
13305490,"Sy1",,
13305496,"Sy1",,
5212939,"Sy1",,
7813524,"Sy1",,
5216099,"Sy1",,
5216256,"Sy1",,
1691865,"Sy1",,
1713928,"Sy1",,
1788720,"Sy1",,
1994238,"Sy1",,
1376887,"Sy1",,
490485,"Sy1",,
2166845,"Sy1",,
2219323,"Sy1",,
2255310,"Sy2",,
2255511,"Sy1",,
5207398,"Sy1",,
1995664,"Sy1",,
