OType,ra,dec,rvz_redshift,rvz_radvel
Sy1,334.301099,14.23914385,0.066,19134.68561
Sy1,334.9572566,26.22442543,0.08771,25145.70179
Sy1,124.2129462,18.04715341,0.1595,44044.87987
Sy1,63.41808751,11.20410722,0.306,78186.5524
Sy2,147.4415292,73.23979167,0.058,16884.51203
Sy2,200.3242208,42.58760556,0.07938,22855.75047
Sy2,212.836,52.2025,0.46169,108631.0623
Sy1,278.7641234,32.69634888,0.058137,16923.20611
Sy1,131.7254045,25.37008611,0.05079,14840.25707
Sy2,129.4698287,44.84054962,0.20697,55738.96097
Sy2,224.4741838,28.53853796,0.14404,40100.07717
Sy1,146.9380975,7.422387703,0.08583,24630.66602
Sy1,169.2766621,44.22592334,0.14373,40020.28226
Sy1,207.285007,44.69156206,0.065,18854.45193
Sy1,214.7659044,-13.179107,0.129,36197.05283
Sy1,214.9572441,-19.47368579,0.121,34094.49541
Sy2,217.6245086,13.65333541,0.08506,24419.42056
Sy1,255.2824112,29.40682886,0.03595021,10583.99407
Sy1,267.8067514,-20.20405019,0.047,13759.47369
Sy1,308.6306195,-30.62460712,0.019370067,5750.769359
Sy1,321.0012812,34.15321964,0.083,23853.41279
Sy1,46.144817,-0.475264,0.005683404,1699
Sy2,162.0977721,-25.1620799,0.012575038,3746.2
Sy2,179.1545421,16.77539887,0.05177,15119.02495
Sy1,177.8332171,16.99327402,0.10378,29505.87393
Sy2,221.6665419,33.30122531,0.07046,20380.92172
Sy2,189.046834,62.150947,1.1396,192299.2816
Sy2,139.5010858,4.418378596,0.15637,43251.69261
Sy1,34.47318016,-19.97209209,0.467403353,109645.5877
Sy1,224.5195775,4.054485258,0.69886,145503.8364
Sy1,227.4216175,18.76696142,0.3258,82373.95961
Sy2,189.1247917,62.09508333,0.48,111858.3695
Sy1,189.139625,62.23838889,3.408,270444.8663
Sy1,185.4031013,34.59464074,0.29925,76736.7892
Sy1,206.7386818,36.54760057,0.24655,65018.97785
Sy1,218.1871705,30.2431527,0.35456,88286.18597
Sy1,235.0177076,35.84725837,0.16349,45051.99473
Sy1,189.1525875,62.22966667,0.959,175851.8931
Sy1,220.5117801,43.61910598,0.23134,61502.43894
Sy1,9.472592,-1.191035,0.080168795,23073.46919
Sy1,11.611609,-1.202572,0.1193,33645.3216
Sy1,220.2115295,52.07943794,0.31875,80894.07022
Sy2,189.1847083,62.24805556,1.487,216344.8848
Sy2,140.5095232,13.50511435,0.079,22750.79952
Sy1,11.85832669,-1.183254633,0.141444519,39431.1465
Sy1,192.5370764,10.75233163,0.19011,51657.05336
Sy2,53.11509583,-27.69580833,0.66528,140884.456
Sy2,151.3238374,45.85809913,0.06912,20007.11085
Sy1,139.072767,1.110656,0.35691,88760.52994
Sy2,258.495841,33.607137,0.03867,11368.98543
Sy1,149.5413375,2.182675,0.8376,162800.0182
Sy1,190.2921048,10.69548393,0.15621,43211.07189
Sy2,53.04753125,-27.78054806,0.575,127528.8801
Sy1,160.3853228,17.39946371,0.12361,34782.48386
Sy2,254.542111,62.41564996,0.1194,33671.76673
Sy1,14.488959,-1.205293,0.132691797,37161.11477
Sy2,189.33275,62.16536111,2.647,257865.2285
Sy2,189.3999167,62.30144444,0.634,136415.8627
Sy2,189.4022083,62.22555556,0.853,164556.1492
Sy2,189.4341875,62.2329,0.5116,117266.7775
Sy2,189.4520833,62.22019444,0.911,170902.712
Sy2,173.2847348,23.982805,0.101,28756.99784
Sy2,149.8730988,-22.82631871,0.008039522,2400.5
Sy1,177.2194228,15.23772897,0.11338,32074.60941
Sy2,177.6384613,30.33413656,0.134,37501.79449
Sy1,358.634949,-0.046996,0.02228,6604.985777
Sy2,189.408078,62.219263,1.241,200228.0523
Sy1,181.2909934,22.55574828,0.104,29565.04122
Sy2,191.9850523,43.26091048,0.04051,11898.79758
