OType,ra,dec,rvz_redshift,rvz_radvel,plx_value,u_,g_,r_,i_,z_
Sy2,175.570296,14.06660101,0.02074,6153.231659,0.0289,16.506,14.951,14.244,13.885,13.611
Sy1,324.9373469,59.8375071,0.114,32239.58597,,,,,,
Sy1,334.301099,14.23914385,0.066,19134.68561,0.008,15.137,14.895,14.501,14.036,13.969
Sy1,124.2129462,18.04715341,0.1595,44044.87987,,17.0804,17.0407,16.9174,16.3998,16.5613
Sy1,63.41808751,11.20410722,0.306,78186.5524,,,,,,
Sy2,147.4415292,73.23979167,0.058,16884.51203,,,,,,
Sy2,200.3242208,42.58760556,0.07938,22855.75047,,17.763,16.218,15.407,14.942,14.586
Sy2,212.836,52.2025,0.46169,108631.0623,,23.194,20.284,18.666,17.839,17.322
Sy1,278.7641234,32.69634888,0.058137,16923.20611,0.022,,,,,
Sy1,131.7254045,25.37008611,0.05079,14840.25707,,16.866,16.093,15.565,15.198,15.004
Sy2,129.4698287,44.84054962,0.20697,55738.96097,,20.307,18.498,17.144,16.615,16.309
Sy2,224.4741838,28.53853796,0.14404,40100.07717,,19.219,17.407,16.213,15.679,15.33
Sy1,146.9380975,7.422387703,0.08583,24630.66602,,17.5214,16.8908,16.5206,15.6957,15.8332
Sy1,169.2766621,44.22592334,0.14373,40020.28226,0.092,16.0283,15.8959,15.7893,15.2849,15.5829
Sy1,207.285007,44.69156206,0.065,18854.45193,0.099,18.454,16.864,16.038,15.573,15.295
Sy1,214.7659044,-13.179107,0.129,36197.05283,,,,,,
Sy1,214.9572441,-19.47368579,0.121,34094.49541,0.0402,,,,,
Sy2,217.6245086,13.65333541,0.08506,24419.42056,,16.85,15.799,15.432,14.875,14.959
Sy1,255.2824112,29.40682886,0.03595021,10583.99407,,16.42,15.536,14.839,14.481,14.192
Sy1,267.8067514,-20.20405019,0.047,13759.47369,0.1449,,,,,
Sy1,308.6306195,-30.62460712,0.019370067,5750.769359,,,,,,
Sy1,321.0012812,34.15321964,0.083,23853.41279,0.2834,,,,,
Sy1,46.144817,-0.475264,0.005683404,1699,,17.815,16.895,16.566,16.442,16.278
Sy2,162.0977721,-25.1620799,0.012575038,3746.2,,,,,,
Sy2,179.1545421,16.77539887,0.05177,15119.02495,0.088,18.157,16.248,15.399,14.993,14.621
Sy2,1.00834682,70.32171913,0.096,27404.41612,,,,,,
Sy1,1.581405141,20.20294928,0.025,7401.154861,0.0056,,,,,
Sy1,9.087246195,45.66491231,0.047716,13963.98112,0.0786,,,,,
Sy1,20.94067981,-58.80578026,0.047,13759.47369,,,,,,
Sy2,23.490629,-36.493279,0.03008,8882.18961,,,,,,
Sy1,29.29560375,47.26646233,0.049,14330.341,0.1841,,,,,
Sy1,53.32829037,37.30310128,0.0547,15950.77973,,,,,,
Sy2,71.62399167,18.46091111,0.01547,4601.920252,,,,,,
Sy1,177.8332171,16.99327402,0.10378,29505.87393,0.8975,19.36,17.555,16.591,16.126,15.807
Sy2,100.3250578,32.82545413,0.049,14330.341,,,,,,
Sy1,106.8045779,64.59971542,0.0795,22888.88404,,,,,,
Sy1,114.2376107,58.77039784,0.00632104,1889.010934,0.0022,,,,,
Sy2,115.6737639,65.17706881,0.038049188,11190,,16.891,15,14.387,13.937,13.689
Sy1,115.811375,-25.76401773,0.023,6815.951926,,,,,,
Sy2,120.087435,26.61351568,0.02674,7909.307693,,15.856,14.159,13.377,12.99,12.695
Sy2,121.9208157,39.00423528,0.02335,6918.448863,,16.105,14.698,14.079,13.748,13.54
Sy1,124.7405028,-22.87671585,0.035,10309.22175,0.0823,,,,,
Sy2,130.0097333,29.817425,0.06484,18809.58704,,17.422,15.612,14.715,14.253,13.998
Sy1,140.9291688,22.90904889,0.03322,9793.773008,,15.825,14.797,14.131,13.737,13.435
Sy2,141.5726167,-84.35919167,0.0629,18264.99637,,,,,,
Sy1,157.9763224,-14.28093836,0.086,24677.28113,,,,,,
Sy1,159.6881954,-49.78157744,0.06,17448.83585,0.0309,,,,,
Sy1,160.8603259,11.09007243,0.04753,13910.86957,0.3548,16.843,16.595,16.522,16.075,16.08
Sy1,174.7873788,59.198547,0.061,17730.55242,0.0418,15.4292,15.5204,15.5745,15.2195,15.4204
Sy1,176.3164318,79.68149352,0.067258719,19487,,,,,,
Sy1,176.979495,9.041339329,0.06871,19892.62972,,16.444,16.074,15.796,15.233,15.266
