otype,ra,dec,rvz_redshift,rvz_radvel,plx_value,dist,unit
Sy2,242.4726725,13.52994731,0.03573,10520.33993,,229.09,Mpc 
Sy2,242.4726725,13.52994731,0.03573,10520.33993,,229.09,Mpc 
Sy2,76.92642917,-37.51305,0.003342562,1000.4,,6.46,Mpc 
Sy2,76.92642917,-37.51305,0.003342562,1000.4,,10.6,Mpc 
Sy2,76.92642917,-37.51305,0.003342562,1000.4,,12.3027,Mpc 
Sy2,76.92642917,-37.51305,0.003342562,1000.4,,9.29,Mpc 
Sy2,76.92642917,-37.51305,0.003342562,1000.4,,13.5,Mpc 
Sy2,76.92642917,-37.51305,0.003342562,1000.4,,6.8,Mpc 
Sy2,76.92642917,-37.51305,0.003342562,1000.4,,9.08,Mpc 
Sy2,76.92642917,-37.51305,0.003342562,1000.4,,12,Mpc 
Sy2,76.92642917,-37.51305,0.003342562,1000.4,,11,Mpc 
Sy2,76.92642917,-37.51305,0.003342562,1000.4,,10.8,Mpc 
Sy2,76.92642917,-37.51305,0.003342562,1000.4,,12.56,Mpc 
Sy2,76.92642917,-37.51305,0.003342562,1000.4,,13.5,Mpc 
Sy2,259.2480909,-62.82054072,0.003683327,1102.2,,10.91,Mpc 
Sy2,259.2480909,-62.82054072,0.003683327,1102.2,,10.7152,Mpc 
Sy2,259.2480909,-62.82054072,0.003683327,1102.2,,13.18,Mpc 
Sy2,259.2480909,-62.82054072,0.003683327,1102.2,,11.2,Mpc 
Sy2,259.2480909,-62.82054072,0.003683327,1102.2,,14,Mpc 
Sy2,259.2480909,-62.82054072,0.003683327,1102.2,,15.9,Mpc 
Sy2,259.2480909,-62.82054072,0.003683327,1102.2,,13,Mpc 
Sy2,259.2480909,-62.82054072,0.003683327,1102.2,,14.3,Mpc 
Sy2,259.2480909,-62.82054072,0.003683327,1102.2,,14.6,Mpc 
Sy2,343.7536127,-39.66132607,0.005820957,1740,,25.7,Mpc 
Sy2,343.7536127,-39.66132607,0.005820957,1740,,44.06,Mpc 
Sy2,343.7536127,-39.66132607,0.005820957,1740,,36.7,Mpc 
Sy2,343.7536127,-39.66132607,0.005820957,1740,,52.72,Mpc 
Sy2,343.7536127,-39.66132607,0.005820957,1740,,24,Mpc 
Sy2,343.7536127,-39.66132607,0.005820957,1740,,23.75,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,15.28,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,16.5196,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,20.61,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,20.61,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,20.3,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,19.3,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,16.2,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,16,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,16.98,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,19,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,19.51,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,15,Mpc 
Sy2,150.4911624,55.67984716,0.00361,1080.297323,,19.4,Mpc 
Sy2,27.23882542,5.907519316,0.005036157,1506,,21,Mpc 
Sy2,165.099775,28.97481944,0.002260784,677,,12.47,Mpc 
Sy2,165.099775,28.97481944,0.002260784,677,,8.2,Mpc 
Sy2,165.099775,28.97481944,0.002260784,677,,12.59,Mpc 
Sy2,165.099775,28.97481944,0.002260784,677,,8.6,Mpc 
Sy2,165.099775,28.97481944,0.002260784,677,,13,Mpc 
Sy2,165.099775,28.97481944,0.002260784,677,,12,Mpc 
Sy2,165.099775,28.97481944,0.002260784,677,,8.41,Mpc 
Sy2,196.0545985,-5.551598001,0.00404,1208.715004,,20.4174,Mpc 
Sy2,196.0545985,-5.551598001,0.00404,1208.715004,,21.2,Mpc 
Sy2,196.0545985,-5.551598001,0.00404,1208.715004,,15.9,Mpc 
Sy2,196.0545985,-5.551598001,0.00404,1208.715004,,6.4,Mpc 
Sy2,196.0545985,-5.551598001,0.00404,1208.715004,,12.06,Mpc 
Sy2,133.8945949,58.73441015,0.002915,872.6213185,1.0798,13.27,Mpc 
Sy2,133.8945949,58.73441015,0.002915,872.6213185,1.0798,16.7,Mpc 
Sy2,133.8945949,58.73441015,0.002915,872.6213185,1.0798,12.7,Mpc 
Sy2,227.317047,-11.32166111,0.00630254,1883.5,,27.16,Mpc 
Sy2,227.317047,-11.32166111,0.00630254,1883.5,,26.06,Mpc 
Sy2,227.317047,-11.32166111,0.00630254,1883.5,,23.7,Mpc 
Sy2,227.317047,-11.32166111,0.00630254,1883.5,,25.7,Mpc 
Sy2,227.317047,-11.32166111,0.00630254,1883.5,,28,Mpc 
Sy2,227.317047,-11.32166111,0.00630254,1883.5,,28.5,Mpc 
Sy2,227.317047,-11.32166111,0.00630254,1883.5,,29.6,Mpc 
Sy1,207.3302508,-30.30950384,0.015558363,4628,,68.99,Mpc 
Sy1,207.3302508,-30.30950384,0.015558363,4628,,68.7,Mpc 
Sy1,205.5349173,35.65429653,0.00386,1154.965511,,17.0608,Mpc 
Sy1,205.5349173,35.65429653,0.00386,1154.965511,,16.6,Mpc 
Sy1,205.5349173,35.65429653,0.00386,1154.965511,,16.5,Mpc 
Sy1,205.5349173,35.65429653,0.00386,1154.965511,,16.6,Mpc 
Sy1,205.5349173,35.65429653,0.00386,1154.965511,,16.1,Mpc 
Sy1,205.5349173,35.65429653,0.00386,1154.965511,,17.7,Mpc 
Sy1,205.5349173,35.65429653,0.00386,1154.965511,,15.2,Mpc 
Sy1,205.5349173,35.65429653,0.00386,1154.965511,,16.52,Mpc 
Sy2,214.0322948,35.34385555,0.012962921,3861,1.6448,43.45,Mpc 
Sy2,214.0322948,35.34385555,0.012962921,3861,1.6448,45.5,Mpc 
Sy2,214.0322948,35.34385555,0.012962921,3861,1.6448,49.3,Mpc 
Sy2,214.0322948,35.34385555,0.012962921,3861,1.6448,57.1,Mpc 
Sy2,214.0322948,35.34385555,0.012962921,3861,1.6448,44.26,Mpc 
Sy2,40.87511035,37.34132857,0.001729357,518,,9.2,Mpc 
Sy2,40.87511035,37.34132857,0.001729357,518,,2.42,Mpc 
Sy2,40.87511035,37.34132857,0.001729357,518,,7.42,Mpc 
Sy2,40.87511035,37.34132857,0.001729357,518,,9.1,Mpc 
Sy2,40.87511035,37.34132857,0.001729357,518,,8.8,Mpc 
Sy2,40.87511035,37.34132857,0.001729357,518,,9.8,Mpc 
Sy2,158.2310351,28.51174424,0.004747881,1420,,25,Mpc 
